Airline,Departure Time,Arrival Time,Duration,Total stops,Price,Date,Class,Origin,Destination
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,860",2023-08-15,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-08-15,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 13,799",2023-08-15,Economy,DEL,DXB
IndiGo,23:15,09:40,11h 55m,1 stop,"₹ 14,396",2023-08-15,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 12,749",2023-08-15,Economy,DEL,DXB
"IndiGo, Air India Express",20:45,02:55,7h 40m,1 stop,"₹ 18,272",2023-08-15,Economy,DEL,DXB
Uzbekistan Airways,06:35,11:00,29h 55m,1 stop,"₹ 40,090",2023-08-15,Economy,DEL,DXB
Ethiopian Air,02:30,11:15,34h 15m,2 stops,"₹ 55,058",2023-08-15,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 30,193",2023-08-15,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 12,749",2023-08-15,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 12,669",2023-08-15,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,860",2023-08-15,Economy,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 30,299",2023-08-15,Economy,DEL,DXB
Ethiopian Air,09:35,02:55,18h 50m,1 stop,"₹ 30,030",2023-08-15,Economy,DEL,DXB
Ethiopian Air,09:35,04:10,20h 05m,1 stop,"₹ 37,642",2023-08-15,Economy,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,276",2023-08-15,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 33,075",2023-08-15,Economy,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,276",2023-08-15,Economy,DEL,DXB
Jazeera Airways,08:15,18:50,12h 05m,1 stop,"₹ 30,299",2023-08-15,Economy,DEL,DXB
Kuwait Airways,02:45,12:20,11h 05m,1 stop,"₹ 52,669",2023-08-15,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 17,628",2023-08-15,Lite,DEL,DXB
Air India,09:50,12:10,3h 50m,direct,"₹ 14,437",2023-08-15,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 14,911",2023-08-15,Economy,DEL,DXB
